store,model,observations,MAE,RMSE,MAPE,SMAPE
1,Média histórica loja-produto,4500,9.439677389356826,12.361267949974957,21.06311855593693,20.27119567655336
2,Média histórica loja-produto,4500,12.586261423746745,16.468807626810364,19.204355626129495,18.784318395857706
3,Média histórica loja-produto,4500,11.240988505893283,14.753810001787363,19.368999817997892,18.861635685109448
4,Média histórica loja-produto,4500,10.558630581325955,13.835254550518828,20.025529878467182,19.370603021352363
5,Média histórica loja-produto,4500,8.178261652628581,10.697122331362909,22.079285062029548,20.945236689541634
6,Média histórica loja-produto,4500,8.148908105214437,10.656400537825983,21.659379046482403,20.740311150864787
7,Média histórica loja-produto,4500,7.548683556874593,9.966739706154106,22.534162118560445,21.28568866682671
8,Média histórica loja-produto,4500,12.193078398810492,16.02864036485735,19.372057843077663,18.98822416744645
9,Média histórica loja-produto,4500,10.69122782474094,14.062989179347367,20.233932733659145,19.546366002550354
10,Média histórica loja-produto,4500,10.992385048760308,14.52988365392963,19.3196250071696,18.795492729616594
