week_start,observations,MAE,RMSE,MAPE,SMAPE,bias,bias_pct,interval_coverage
2017-10-03,3500,6.497420928857142,8.342852018160771,13.910278707663107,12.852020562205585,2.091227378,3.6326933270135706,0.9331428571428572
2017-10-10,3500,6.383412014285714,8.164788747133032,13.682377446133575,12.672579200982117,1.726655101142857,2.992469846001485,0.952
2017-10-17,3500,6.189437045,7.92698897413284,13.08963168541537,12.21583095559917,1.4744590612857142,2.5442387726477174,0.9551428571428572
2017-10-24,3500,6.331777598857142,8.128885961401952,13.412498788230437,12.451479719846718,1.7369268737142858,3.015752349156418,0.9542857142857143
2017-10-31,3500,6.936729622,9.059418455361374,12.899758481166918,12.629754502237459,-2.0873884677142858,-3.388240472767418,0.958
2017-11-07,3500,6.660796573999999,8.722233845050177,11.983887261388789,11.985458519225995,-2.3973444317142856,-3.859978521646728,0.9591428571428572
2017-11-14,3500,6.603269957857143,8.679459124773624,11.94814259954941,11.888902432805194,-2.2642889227142855,-3.6515236067786927,0.9622857142857143
2017-11-21,3500,6.673347169428571,8.770634775369405,12.1064219916288,12.044611999100796,-2.23403251,-3.602863165533922,0.9608571428571429
2017-11-28,3500,8.405411982142857,10.703063260830715,20.75088386862939,17.94294580195306,4.151505239285715,8.061577741745769,0.9288571428571428
2017-12-05,3500,10.456486665428573,12.616109559440114,29.810248116356153,24.158118372141956,9.789534349428571,22.15729109010134,0.8868571428571429
2017-12-12,3500,10.012641380000002,12.214358893524699,27.88901901524618,22.9594470668995,9.240775521142858,20.809477570243786,0.8974285714285715
2017-12-19,3500,9.705075259285714,11.782391724851605,28.160783449954618,22.930902542019847,8.919055697000001,20.106983400964886,0.9071428571428571
2017-12-26,3000,9.459294988,11.545714308879855,26.65600619194679,21.84357364171767,8.335337254666667,18.127654529374233,0.9163333333333333
